movie_id,movie_title,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,title_clean,overview,vote_average,popularity,release_date,poster_url,quality,release_year_val,recency,novelty
1,Toy Story (1995),0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,toy story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",7.7,73.640445,1995-10-30,,0.8928571428571427,1995.0,0.7439024390243922,0.10594051410493224
2,GoldenEye (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,goldeneye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,6.6,59.824565,1995-11-16,,0.6964285714285713,1995.0,0.7439024390243922,0.14093453262199387
3,Four Rooms (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,four rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,6.5,22.87623,1995-12-09,,0.6785714285714285,1995.0,0.7439024390243922,0.3028398992791705
4,Get Shorty (1995),0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,get shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",6.4,15.585138,1995-10-20,,0.6607142857142857,1995.0,0.7439024390243922,0.36747630646636964
5,Copycat (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,6.4,14.211699,1995-10-27,,0.6607142857142857,1995.0,0.7439024390243922,0.3830134519926379
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,shanghai triad (yao a yao yao dao waipo qiao),,6.6,18.1345355,,,0.6964285714285713,1995.0,0.7439024390243922,0.3419605804380085
7,Twelve Monkeys (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,twelve monkeys,,6.6,18.1345355,,,0.6964285714285713,1995.0,0.7439024390243922,0.3419605804380085
8,Babe (1995),0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",6.0,34.36645,1995-07-18,,0.5892857142857141,1995.0,0.7439024390243922,0.23429583927214787
9,Dead Man Walking (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,dead man walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,7.3,15.864928,1995-12-29,,0.8214285714285713,1995.0,0.7439024390243922,0.3644795858434334
10,Richard III (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,richard iii,Shakespeare's Play transplanted into a 1930s setting.,6.9,5.107235,1995-12-29,,0.7499999999999999,1995.0,0.7439024390243922,0.5553759178764914
11,Seven (Se7en) (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,seven (se7en),,6.6,18.1345355,,,0.6964285714285713,1995.0,0.7439024390243922,0.3419605804380085
12,"Usual Suspects, The (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"usual suspects, the",,6.6,18.1345355,,,0.6964285714285713,1995.0,0.7439024390243922,0.3419605804380085
13,Mighty Aphrodite (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,mighty aphrodite,,6.6,18.1345355,,,0.6964285714285713,1995.0,0.7439024390243922,0.3419605804380085
14,"Postino, Il (1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"postino, il",,6.6,18.1345355,,,0.6964285714285713,1995.0,0.7439024390243922,0.3419605804380085
